link_id,link_name,category
75079,10th Avenue - Northbound - 14th St to 23rd St,10th Ave
79078,10th Avenue - Northbound - 23rd St to 34th St,10th Ave
78109,10th Avenue - Northbound - 34th St to 42nd St,10th Ave
109085,10th Avenue - Northbound - 42nd St to 49th St,10th Ave
85077,10th Avenue - Northbound - 49th St to 57th St,10th Ave
4616337,11th Ave N Ganesvoort St - 12th Ave N 40th St,West Side Hwy
108104,11th Avenue - Southbound - 34th St to 23rd St,11th Ave
80108,11th Avenue - Southbound - 42nd St to 34th St,11th Ave
116080,11th Avenue - Southbound - 49th St to 42nd St,11th Ave
81116,11th Avenue - Southbound - 57th St to 49th St,11th Ave
4616325,11th Ave S Ganesvoort St - West St S Spring St,11th Ave
4616338,12th Ave N 40th - 57th St,West Side Hwy
4616324,12th Ave S 45th St - 11th Ave Ganesvoort St,West Side Hwy
4616323,12th Ave S 57th St - 45th St,West Side Hwy
75107,14th Street - eastbound - 11 Ave/Rt 9A to 7th Ave,14th St
107083,14th Street - eastbound - 7th Avenue to Union Sqr. East / Broadway,14th St
83076,14th Street - eastbound - Union Sqr. East / Broadway to 1st Avenue,14th St
76083,14th Street - westbound - 1st Avenue to Union Sqr. East / Broadway,14th St
107075,14th Street - westbound - 7th Ave to 11 Ave/Rt 9A,14th St
83107,14th Street - westbound - Union Sqr. East / Broadway to 7th Avenue,1st Ave
76045,1st Avenue - Northbound - 14th St to 23rd St,1st Ave
45102,1st Avenue - Northbound - 23rd St to 34th St,1st Ave
48040,1st Avenue - Northbound - 42nd St to 49th St,1st Ave
40041,1st Avenue - Northbound - 49th St to 57th St,1st Ave
79082,23rd Street - Eastbound - 10th Ave to 9th Ave,23rd St
104079,23rd Street - Eastbound - 11th Ave to 10th Ave,23rd St
105045,23rd Street - Eastbound - 2nd Ave to 1st Ave,23rd St
44105,23rd Street - Eastbound - 3rd Ave to 2nd Ave,23rd St
47204,23rd Street - eastbound - 6 ave to madison ave,23rd St
106047,23rd Street - Eastbound - 7th Ave to 6th Ave,23rd St
50106,23rd Street - Eastbound - 8th Ave to 7th Ave,23rd St
82050,23rd Street - Eastbound - 9th Ave to 8th Ave,23rd St
204044,23rd Street - eastbound - madison ave to 3 ave,23rd St
79104,23rd Street - Westbound - 10th Ave to 11th Ave,23rd St
45105,23rd Street - Westbound - 1st Ave to 2nd Ave,23rd St
105044,23rd Street - Westbound - 2nd Ave to 3rd Ave,23rd St
44204,23rd Street- westbound - 3 ave to madison ave,23rd St
47106,23rd Street - Westbound - 6th Ave to 7th Ave,23rd St
106050,23rd Street - Westbound - 7th Ave to 8th Ave,23rd St
50082,23rd Street - Westbound - 8th Ave to 9th Ave,23rd St
82079,23rd Street - Westbound - 9th Ave to 10th Ave,23rd St
204047,23rd Street - westbound - madison ave to 6 ave,23rd St
4616279,278 E BRUNSWICK AVENUE - SIE E SOUTH AVENUE,Staten Island Expwy / Verazzano Br
4616280,278 E BRUNSWICK AVENUE - WSE S SOUTH AVENUE,Staten Island Expwy / Verazzano Br
103105,2nd Avenue - Southbound - 34th St to 23rd St,2nd Ave
42103,2nd Avenue -  Southbound - 42nd St to 34th St,2nd Ave
46042,2nd Avenue - Southbound - 49th St to 42nd St,2nd Ave
55046,2nd Avenue  - Southbound - 57th St to 49th St,2nd Ave
193055,2nd Avenue - Southbound - 72nd St to 57th St,2nd Ave
192193,2nd Avenue - Southbound - 86th St to 72nd St,2nd Ave
78061,34th Street - Eastbound - 10th Ave to 9th Ave,34th St
108078,34th Street - Eastbound - 11th Ave to 10th Ave,34th St
103102,34th Street - Eastbound - 2nd Ave to 1st Ave,34th St
20103,34th Street - Eastbound - 3rd Ave to 2nd Ave,34th St
118008,34th Street - Eastbound - 5th Ave to Madison Ave,34th St
23118,34th Street - Eastbound - 6th Ave to 5th Ave,34th St
60023,34th Street - Eastbound - 7th Ave to 6th Ave,34th St
57060,34th Street - Eastbound - 8th Ave to 7th Ave,34th St
61057,34th Street - Eastbound - 9th Ave to 8th Ave,34th St
8020,34th Street - Eastbound - Madison Ave to 3rd Ave,34th St
78108,34th Street - Westbound - 10th Ave to 11th Ave,34th St
102103,34th Street - Westbound - 1st Ave to 2nd Ave,34th St
103020,34th Street - Westbound - 2nd Ave to 3rd Ave,34th St
20008,34th Street - Westbound - 3rd Ave to Madison Ave,34th St
118023,34th Street - Westbound - 5th Ave to 6th Ave,34th St
23060,34th Street - Westbound - 6th Ave to 7th Ave,34th St
60057,34th Street - Westbound - 7th Ave to 8th Ave,34th St
57061,34th Street - Westbound - 8th Ave to 9th Ave,34th St
61078,34th Street - Westbound - 9th Ave to 10th Ave,34th St
8118,34th Street - Westbound - Madison Ave to 5th Ave,34th St
44020,3rd Avenue - Northbound - 23rd St to 34th St,3rd Ave
20004,3rd Avenue - Northbound - 34th St to 42nd St,3rd Ave
4005,3rd Avenue - Northbound - 42nd St to 49th St,3rd Ave
