"link_name","data_as_of","status","speed","travel_time"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:58:03.000","0","16.77","577"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:58:03.000","0","16.77","422"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:58:03.000","0","12.42","1214"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:58:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:58:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:58:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:51:03.000","0","25.47","375"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:51:03.000","0","16.77","421"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:51:03.000","0","14.29","1077"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:51:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:51:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:51:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:49:04.000","0","27.96","341"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:49:04.000","0","16.77","416"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:49:04.000","0","14.91","1030"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:44:04.000","0","27.34","351"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:44:04.000","0","19.88","362"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:44:04.000","0","16.77","906"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:44:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:44:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:44:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:39:03.000","0","25.47","377"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:39:03.000","0","22.36","319"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:39:03.000","0","18.64","816"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:39:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:39:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:39:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:34:03.000","0","24.85","386"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:34:03.000","0","21.74","327"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:34:03.000","0","19.88","755"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:34:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:34:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:34:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:29:03.000","0","26.71","360"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:29:03.000","0","21.74","329"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:29:03.000","0","21.12","715"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:29:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:29:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:29:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:24:03.000","0","27.34","347"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:24:03.000","0","23.61","303"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:24:03.000","0","21.74","699"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:24:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:24:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:24:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:19:04.000","0","24.85","389"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:19:04.000","0","22.99","314"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:19:04.000","0","22.36","687"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:19:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:14:04.000","0","17.39","538"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:14:04.000","0","14.29","493"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:14:04.000","0","23.61","646"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:09:04.000","0","14.29","654"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:09:04.000","0","11.18","630"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:09:04.000","0","24.23","635"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:09:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:09:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:09:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:04:04.000","0","14.29","654"
